statistic_yyy,site_id,village,edu_age_15up_total,edu_doctor_graduated_m,edu_doctor_ungraduated_m,edu_master_graduated_m,edu_master_ungraduated_m,edu_university_graduated_m,edu_university_ungraduated_m,edu_juniorcollege_2ys_graduated_m,edu_juniorcollege_2ys_ungraduated_m,edu_juniorcollege_5ys_final2y_graduated_m,edu_juniorcollege_5ys_final2y_ungraduated_m,edu_juniorcollege_5ys_first3y_ungraduated_m,edu_senior_graduated_m,edu_senior_ungraduated_m,edu_seniorvocational_graduated_m,edu_seniorvocational_ungraduated_m,edu_junior_graduated_m,edu_junior_ungraduated_m,edu_juniorvocational_graduated_m,edu_juniorvocational_ungraduated_m,edu_primary_graduated_m,edu_primary_ungraduated_m,edu_selftaughtl_m,edu_illiterate_m,,,,,,,,,,,,,,,,,,,,,,,
統計年,區域別,村里名稱,總計,博畢_男,博肄_男,碩畢_男,碩肄_男,大畢_男,大肄_男,二畢_男,二肄_男,後二畢_男,後二肄_男,前三肄_男,高畢_男,高肄_男,職畢_男,職肄_男,國畢_男,國肄_男,初畢_男,初肄_男,小畢_男,小肄_男,自修_男,不識_男,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,溪頭里,5513,12,8,150,39,501,185,137,39,133,12,6,186,84,408,165,312,46,2,3,250,8,4,9,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,聯翠里,3350,14,14,163,28,354,123,80,8,91,3,5,94,46,202,42,149,21,3,1,95,5,3,3,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,宏翠里,4378,5,7,127,27,421,129,133,28,101,6,9,138,50,309,119,240,39,2,0,151,13,9,4,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,仁翠里,2724,5,4,48,16,186,76,73,23,54,8,7,102,31,211,60,199,25,4,1,168,12,4,8,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,新翠里,7164,21,18,246,57,742,245,189,46,172,15,21,250,119,477,142,329,51,9,2,230,17,3,2,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,吉翠里,3454,2,4,57,25,239,129,104,21,56,10,12,124,54,272,112,227,27,4,1,179,18,0,4,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,德翠里,6444,6,8,185,57,612,238,208,52,153,11,21,200,104,480,163,336,37,1,1,204,6,3,1,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,滿翠里,2791,1,5,54,14,188,77,64,23,69,4,4,114,30,223,85,174,18,3,3,164,10,1,7,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,明翠里,4548,9,2,132,29,385,144,120,32,119,9,11,135,55,341,104,278,35,4,3,215,17,4,3,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,松翠里,3153,5,6,84,28,289,106,82,25,93,8,6,110,49,225,75,153,31,6,2,147,2,1,2,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,柏翠里,3706,13,6,117,28,347,127,77,26,78,5,9,124,58,270,94,185,32,7,0,130,7,1,2,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,龍翠里,4643,7,6,152,39,448,180,131,26,110,8,8,132,59,332,117,209,24,1,2,211,16,4,8,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,華翠里,3275,8,2,129,28,339,109,71,15,93,4,5,97,42,260,65,149,18,2,0,97,6,1,2,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,忠翠里,9038,35,32,530,98,1032,342,245,40,248,22,19,219,152,450,130,282,68,7,2,189,14,1,9,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,嵐翠里,2344,1,2,39,20,148,88,57,20,44,6,5,115,22,197,75,183,16,1,0,118,8,1,2,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,文翠里,3731,3,6,115,25,341,123,89,20,104,12,8,123,57,287,89,197,26,7,1,186,8,1,5,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,青翠里,2835,3,2,69,14,216,87,75,13,69,4,8,92,44,229,94,242,24,1,4,130,9,2,5,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,懷翠里,5602,11,7,117,25,429,226,178,39,116,10,18,179,81,433,174,399,57,2,0,241,19,8,5,,,,,,,,,,,,,,,,,,,,,,,
104,新北市板橋區,福翠里,1294,2,1,15,4,108,39,31,10,29,2,0,65,12,109,35,107,7,1,1,77,4,0,1,,,,,,,,,,,,,,,,,,,,,,,
