年月,地區,食品餐飲類未達50萬(筆數),食品餐飲類未達50萬(金額，新台幣),衣著飾品類未達50萬(筆數),衣著飾品類未達50萬(金額，新台幣),旅館住宿類未達50萬(筆數),旅館住宿類未達50萬(金額，新台幣),交通類未達50萬(筆數),交通類未達50萬(金額，新台幣),文教康樂類未達50萬(筆數),文教康樂類未達50萬(金額，新台幣),百貨類未達50萬(筆數),百貨類未達50萬(金額，新台幣),其他類未達50萬(筆數),其他類未達50萬(金額，新台幣),食品餐飲類50萬(含)-75萬(筆數),食品餐飲類50萬(含)-75萬(金額，新台幣),衣著飾品類50萬(含)-75萬(筆數),衣著飾品類50萬(含)-75萬(金額，新台幣),旅館住宿類50萬(含)-75萬(筆數),旅館住宿類50萬(含)-75萬(金額，新台幣),交通類50萬(含)-75萬(筆數),交通類50萬(含)-75萬(金額，新台幣),文教康樂類50萬(含)-75萬(筆數),文教康樂類50萬(含)-75萬(金額，新台幣),百貨類50萬(含)-75萬(筆數),百貨類50萬(含)-75萬(金額，新台幣),其他類50萬(含)-75萬(筆數),其他類50萬(含)-75萬(金額，新台幣),食品餐飲類75萬(含)-100萬(筆數),食品餐飲類75萬(含)-100萬(金額，新台幣),衣著飾品類75萬(含)-100萬(筆數),衣著飾品類75萬(含)-100萬(金額，新台幣),旅館住宿類75萬(含)-100萬(筆數),旅館住宿類75萬(含)-100萬(金額，新台幣),交通類75萬(含)-100萬(筆數),交通類75萬(含)-100萬(金額，新台幣),文教康樂類75萬(含)-100萬(筆數),文教康樂類75萬(含)-100萬(金額，新台幣),百貨類75萬(含)-100萬(筆數),百貨類75萬(含)-100萬(金額，新台幣),其他類75萬(含)-100萬(筆數),其他類75萬(含)-100萬(金額，新台幣),食品餐飲類100萬(含)-125萬(筆數),食品餐飲類100萬(含)-125萬(金額，新台幣),衣著飾品類100萬(含)-125萬(筆數),衣著飾品類100萬(含)-125萬(金額，新台幣),旅館住宿類100萬(含)-125萬(筆數),旅館住宿類100萬(含)-125萬(金額，新台幣),交通類100萬(含)-125萬(筆數),交通類100萬(含)-125萬(金額，新台幣),文教康樂類100萬(含)-125萬(筆數),文教康樂類100萬(含)-125萬(金額，新台幣),百貨類100萬(含)-125萬(筆數),百貨類100萬(含)-125萬(金額，新台幣),其他類100萬(含)-125萬(筆數),其他類100萬(含)-125萬(金額，新台幣),食品餐飲類125萬(含)-150萬(筆數),食品餐飲類125萬(含)-150萬(金額，新台幣),衣著飾品類125萬(含)-150萬(筆數),衣著飾品類125萬(含)-150萬(金額，新台幣),旅館住宿類125萬(含)-150萬(筆數),旅館住宿類125萬(含)-150萬(金額，新台幣),交通類125萬(含)-150萬(筆數),交通類125萬(含)-150萬(金額，新台幣),文教康樂類125萬(含)-150萬(筆數),文教康樂類125萬(含)-150萬(金額，新台幣),百貨類125萬(含)-150萬(筆數),百貨類125萬(含)-150萬(金額，新台幣),其他類125萬(含)-150萬(筆數),其他類125萬(含)-150萬(金額，新台幣),食品餐飲類150萬(含)-175萬(筆數),食品餐飲類150萬(含)-175萬(金額，新台幣),衣著飾品類150萬(含)-175萬(筆數),衣著飾品類150萬(含)-175萬(金額，新台幣),旅館住宿類150萬(含)-175萬(筆數),旅館住宿類150萬(含)-175萬(金額，新台幣),交通類150萬(含)-175萬(筆數),交通類150萬(含)-175萬(金額，新台幣),文教康樂類150萬(含)-175萬(筆數),文教康樂類150萬(含)-175萬(金額，新台幣),百貨類150萬(含)-175萬(筆數),百貨類150萬(含)-175萬(金額，新台幣),其他類150萬(含)-175萬(筆數),其他類150萬(含)-175萬(金額，新台幣),食品餐飲類175萬(含)-200萬(筆數),食品餐飲類175萬(含)-200萬(金額，新台幣),衣著飾品類175萬(含)-200萬(筆數),衣著飾品類175萬(含)-200萬(金額，新台幣),旅館住宿類175萬(含)-200萬(筆數),旅館住宿類175萬(含)-200萬(金額，新台幣),交通類175萬(含)-200萬(筆數),交通類175萬(含)-200萬(金額，新台幣),文教康樂類175萬(含)-200萬(筆數),文教康樂類175萬(含)-200萬(金額，新台幣),百貨類175萬(含)-200萬(筆數),百貨類175萬(含)-200萬(金額，新台幣),其他類175萬(含)-200萬(筆數),其他類175萬(含)-200萬(金額，新台幣),食品餐飲類200萬(含)以上(筆數),食品餐飲類200萬(含)以上(金額，新台幣),衣著飾品類200萬(含)以上(筆數),衣著飾品類200萬(含)以上(金額，新台幣),旅館住宿類200萬(含)以上(筆數),旅館住宿類200萬(含)以上(金額，新台幣),交通類200萬(含)以上(筆數),交通類200萬(含)以上(金額，新台幣),文教康樂類200萬(含)以上(筆數),文教康樂類200萬(含)以上(金額，新台幣),百貨類200萬(含)以上(筆數),百貨類200萬(含)以上(金額，新台幣),其他類200萬(含)以上(筆數),其他類200萬(含)以上(金額，新台幣)
103年04月,基隆市,44319,51234444,13816,33389518,4835,30454592,65142,63691220,4833,14242354,4033,10966486,15629,58541848,19642,24228894,6326,16401598,2439,16520403,24242,26336069,2373,7891780,1835,5773952,9175,33863413,7035,8681647,2088,5590336,960,5947215,9173,10245728,871,2928472,604,1812249,3159,12896935,3444,4541242,942,2938404,682,5554172,4870,6418879,389,1638510,357,1083882,1702,7695181,1229,1608468,315,929671,175,1123684,1624,1868419,147,378152,117,314373,598,2617543,703,1179292,193,721491,116,785389,1061,1473418,79,325017,102,354458,385,2560127,319,482687,102,250102,50,449012,488,798236,51,282539,51,221895,205,1755568,1081,2053288,421,1361497,375,4213717,2152,2975665,159,823313,230,809848,818,5077495
103年05月,基隆市,48871,61460696,15710,36923484,4684,25780624,68954,68666590,5637,17853863,4380,9958679,16983,63580368,21933,29902038,7631,19546775,2417,15088657,25707,28574314,2878,9877065,2036,5024295,9683,37459639,7848,11555561,2344,6510976,959,5527450,9573,10783620,1010,3049755,768,1783333,3369,14142656,3806,5753377,1056,3379524,645,4456185,5226,6949622,456,1984466,442,1162892,1752,8744282,1300,1748496,388,1042805,159,1113556,1635,1943933,149,696882,147,414511,614,2515024,789,1462618,235,729247,113,921866,1147,1541661,85,390206,113,330807,439,2015814,392,618718,111,364909,69,461465,494,870842,60,529761,53,144900,210,921051,1213,2157764,469,1391332,290,3566185,2194,2950385,167,1020307,260,815846,808,4971197
103年06月,基隆市,46937,56416925,15645,36892506,4895,30450772,69193,68835799,6044,16198200,4025,8679380,16715,62500476,21114,27260317,7387,17961186,2560,15833224,25741,28875014,3139,9573980,1886,4124143,9637,36675731,7233,9584235,2320,6034555,954,6411479,9609,11208075,1108,3666356,625,1557154,3391,14101787,3807,5758960,1025,2887679,635,4588941,5124,7244322,564,2199581,385,933438,1887,8189076,1233,1697957,288,783123,177,1224177,1612,1918896,139,622777,139,269389,561,2516711,728,1344262,231,711418,130,1071327,1145,1561245,116,563267,118,265436,406,1810355,372,642783,113,322885,64,590165,499,839719,53,173910,35,67127,178,1035153,1216,1985715,491,1501606,251,2570753,2116,2918913,198,818999,205,612808,836,5377885
103年07月,基隆市,53662,65021938,15480,35117427,5974,38154942,72642,70664257,5297,15082017,4442,8938858,13239,57114857,23680,30908101,7742,19069960,3229,21286991,27714,30577683,2783,7713284,2123,4526548,6559,32302531,8348,11033960,2500,6027216,1289,7933657,10003,11127318,1013,2726400,717,1728491,2332,12441300,4202,5978181,1111,3166946,920,6006875,5407,7070083,444,1967134,469,1155834,1168,6861849,1413,2016047,389,1050892,201,1259997,1734,2010342,138,336342,165,362284,455,2437873,750,1286708,224,582331,161,1280849,1239,1829315,72,267139,111,264826,260,1549516,383,539353,114,302310,77,605497,558,825348,56,234072,52,102153,141,1646418,1378,2537545,494,1599162,316,3465193,2259,3180736,144,1191946,235,830086,465,4343185
103年08月,基隆市,53050,74100938,16679,36324754,5538,29363802,74238,69406905,6238,16950024,4487,8990220,17269,66257434,23971,35152229,8010,18425814,3052,16018324,28175,29618292,3266,9261440,2211,4513453,9948,38607027,8223,13451341,2575,6417258,1199,7029704,10351,11459231,1173,4445712,665,1401409,3459,15931732,4298,7338233,1089,2556812,850,4733734,5697,7083128,473,1823180,432,944791,1832,8885065,1432,2353357,384,1007186,201,1418793,1849,2019682,150,628344,139,310341,645,2907782,794,1529566,248,558108,148,911865,1213,1571562,105,538143,97,250061,396,1779598,405,636391,151,392478,87,782189,539,753286,64,192465,38,89272,191,1668899,1478,3311321,522,1564854,306,2831453,2365,3224263,157,812816,197,551198,832,4913133
103年09月,基隆市,46950,56133736,13859,32381496,4568,24799476,70312,65504775,5402,17128178,4321,8758942,17719,73147302,20571,27352886,6246,15646422,2436,14007352,26759,28063425,2690,8646331,1898,4212054,10208,44164047,7332,9431150,2118,5636108,905,4996100,9611,10429933,967,3047013,665,1642164,3536,17104697,3664,5169560,891,2349998,485,3152157,5296,6930902,438,1945759,402,905128,1942,9992567,1165,1615322,321,972160,174,1558219,1747,1904148,139,466075,130,284786,648,3360972,755,1097505,199,501458,113,755553,1203,1570045,70,164835,91,242249,448,2429672,357,653404,123,314246,62,503423,483,697384,61,265652,39,62446,191,1247296,1212,2410134,422,1391649,226,1871017,2238,2915314,159,1531978,193,425393,847,7012721
103年10月,基隆市,46222,57106725,15839,42113639,4587,22426971,70635,62394770,5502,17757539,4770,15122550,19242,80670998,20259,26901682,7650,22066018,2364,11577464,26693,26837392,2865,9969675,2123,7077261,11419,50070690,7077,9286634,2546,7746385,913,4551350,9721,10524646,1035,3626772,715,2230455,3775,17288959,3644,5449119,1016,3012646,489,2557515,5205,6377196,445,1979448,427,1411863,2119,10538289,1142,1555869,355,1116452,172,785935,1779,2061157,155,549221,139,435980,704,3853133,730,1336979,225,748047,96,614358,1208,1678244,85,302034,103,409497,443,2351396,377,452645,121,401249,66,358443,555,738464,65,337919,46,222225,221,1464005,1186,2048142,532,1947377,230,1686223,2148,2682010,167,1118463,240,772464,976,6711325
103年11月,基隆市,44756,52262845,14363,39427730,4574,24916429,65794,55772631,5146,18030674,2799,7591413,18386,77614515,20186,25304738,6763,19690337,2408,13126806,24938,23890145,2636,9488958,1289,3861299,10662,43544137,7077,8638322,2211,6878738,893,6215011,8968,9032345,969,3923153,376,1068286,3688,18131034,3501,5052776,1003,3211651,491,3707511,4943,5522471,450,2395204,168,503960,1947,9783644,1123,1455711,319,1025403,163,835953,1609,1723494,159,723844,50,145035,671,3011490,749,1211311,245,800950,122,781776,1136,1332547,87,413478,34,130072,481,2431109,321,448004,134,434802,69,447565,493,655525,60,153463,16,64501,218,1240307,1128,1925448,467,1883146,259,2058955,2067,2593759,167,955555,81,397445,870,6341019
103年12月,基隆市,48305,58776311,18165,50419669,4489,23335174,68281,54306508,6001,21282914,2866,7555193,19397,79636198,21276,27151699,8036,23681459,2236,13517797,25332,23546945,2999,10918286,1226,3799488,11198,45296054,7357,9624017,2471,7561475,906,4914629,9292,8939796,1132,4406200,362,1587388,3971,17730209,3723,5531113,1165,3559681,495,2867001,4985,5318113,520,2240841,183,1187116,2117,10600705,1285,2097894,413,1424869,162,933262,1652,1570383,185,806624,54,208738,715,3437880,751,1615121,293,1058400,134,1279426,1198,1263125,110,653275,35,331121,520,3321382,383,571034,149,635240,80,489075,516,609933,77,305562,12,51129,212,982083,1284,2272183,624,2882023,275,2603862,2082,2174843,197,2452075,63,488671,989,6279208
104年01月,基隆市,49012,64106109,16228,45569761,5050,28327003,65043,46873021,6040,21093788,2726,8967578,18579,78659771,22196,33289059,8054,23570537,2606,17831831,24628,19751098,3200,12434355,1281,4313138,10949,44478930,7718,11272165,2725,8256947,1029,5876577,8871,7463336,1190,4959567,357,1519690,3839,17703842,3852,6388412,1170,4028977,569,3645437,4950,4828031,509,2671852,178,976728,2087,11506803,1309,1968701,319,1171191,201,1125148,1680,1442473,174,996890,57,327518,707,3083508,804,1769754,272,977056,126,775802,1144,1162421,101,462703,48,141309,476,3246801,401,634678,121,446657,66,380156,491,501209,80,573948,21,82357,222,1073559,1287,2743447,468,1923485,301,2794815,2025,1945021,175,1414817,72,390104,897,7198819
104年02月,基隆市,48591,73153769,18458,52513668,5047,27469040,59546,43732895,6276,20446034,2559,7545085,16575,68076403,22087,35814662,9152,27083165,2569,13442831,23295,18612034,3181,11443867,1143,3833964,9446,36136089,7782,12321255,3048,9726572,1059,6453411,8595,6984618,1201,4326689,389,1184647,3243,15356197,4189,7371969,1280,4215364,588,3501111,4705,4205681,530,2447022,137,628670,1733,8138463,1366,2481435,385,1256262,171,1183028,1593,1372592,156,615782,70,328002,658,3814426,810,1748053,296,866002,110,799097,1045,1023205,99,704774,40,106322,401,2388724,411,810747,141,394249,63,392592,497,513115,72,208169,21,91578,193,1132080,1360,3373694,523,2100720,261,3284357,1975,1961024,198,1869950,60,722012,727,5682544
104年03月,基隆市,42783,50499398,13439,35643483,4115,20836859,65211,50084138,5654,21678629,2574,7676405,17699,69548838,19087,24469716,6217,17035839,2129,11341109,24672,20959991,2863,12028702,1176,4349896,10110,37957992,6697,8217807,1963,5632052,810,4218997,9242,8023624,1004,4016484,351,1647625,3595,15958494,3344,4650394,860,2518417,469,2707694,4989,4755875,456,2294186,187,1324832,1886,8995497,1133,1405825,281,808749,137,749955,1702,1674166,157,852444,72,254492,667,2719679,669,1249623,209,673660,111,750944,1077,1070705,97,865049,54,217680,489,2523452,370,429322,96,287684,61,432587,471,541124,58,235297,25,339166,208,724962,1208,1912265,408,1448131,263,2556301,2166,2269231,204,1485148,96,597444,807,4788706
104年04月,基隆市,43922,51700279,14751,36488880,4837,31803573,63254,47434571,6087,23544347,4297,13606432,17709,71927363,19581,24737628,6860,17746086,2423,16308627,23906,20049574,3027,11847725,1966,6448986,10148,40409927,6780,8916513,2069,5960190,926,5874292,8933,7693207,1075,5141454,584,2059867,3492,16444888,3495,4786098,950,2695459,502,3672181,4997,4882181,473,3116730,375,1542981,1812,9542584,1214,1637851,287,811995,166,1105450,1642,1596515,158,1114455,142,554843,674,3777668,639,1116299,260,766728,118,1082555,1040,1140919,84,368905,93,430928,437,2336670,370,468282,117,327658,87,682393,493,574634,60,304268,31,93876,217,1157310,1180,1978110,401,1383999,275,2714238,1971,2008785,186,2333472,223,912263,881,5141329
104年05月,基隆市,49780,60721065,16872,41300661,4654,25097787,65989,50680591,6114,22465015,6127,16644283,16903,73139711,21977,28813021,7800,20385104,2466,12755977,25473,22110436,3010,12401336,2753,7900558,9042,40829925,7975,10763921,2434,6712201,913,5145552,9610,8884250,1037,4497029,1024,2970382,3104,16309370,3797,5333350,1018,2804396,517,3184538,4975,5028953,517,2849819,575,1702955,1702,11210938,1312,1798968,381,945814,163,1163524,1777,1716211,129,786320,186,565719,575,2978375,745,1399601,228,654436,122,816407,1078,1186040,92,534532,162,648939,364,2823939,409,557607,126,374770,72,379103,523,569835,83,511134,66,168472,177,931182,1297,2798120,498,1785092,264,2454125,2064,2270295,204,1784094,363,1119715,747,5960812
104年06月,基隆市,47985,55074522,16355,37398438,4874,31533226,69227,53276622,6531,20351111,4655,13131565,19366,81327369,21188,25718147,7418,17714645,2539,16401242,26725,23035148,3338,12983003,2172,5464192,11065,46295970,7578,9218459,2441,6422990,994,6433232,9944,8972498,1218,6316361,686,2022921,3835,18557769,3770,5382399,1015,2835105,516,3437815,5271,5366226,512,2883079,424,1324164,2018,10655861,1339,1866828,333,981262,143,992063,1851,1881904,165,1099413,135,511251,684,3258681,735,1357047,254,625984,127,1082805,1171,1404667,105,847294,112,333991,492,3245310,370,506064,122,369537,65,669956,483,584978,65,253245,55,148007,219,1847651,1263,2182640,482,1679138,276,2918428,2189,2204246,204,2348146,231,700857,1031,8019724
104年07月,基隆市,51363,57360821,15695,34823038,5299,32871356,71070,53127314,6699,24566882,4195,12499897,19978,82101682,22767,27955170,7512,18398542,2870,19215461,27902,23822571,3418,14094221,2068,7612820,11167,45075941,7908,9629718,2459,6333714,1103,6856492,10001,8645996,1272,4968345,662,2026585,3900,17900358,4128,5364344,1185,3178528,566,4295250,5599,5545766,572,3785037,390,1242168,2062,9948009,1358,1836338,323,858689,192,1279403,1891,1787052,161,1167392,132,382304,715,3383644,703,1049856,232,585400,125,1405239,1200,1272467,123,1099972,94,383449,526,3219091,398,495706,125,441900,61,414249,548,554604,79,387498,42,72272,229,1287338,1424,2289068,480,1404311,309,3840212,2331,2321096,216,1963538,219,614091,893,7986247
104年08月,基隆市,57436,75146036,15398,34024449,4917,24166580,69254,48517123,6274,22790019,4139,11146756,19764,81002847,25723,35625856,7350,18056341,2622,12300104,26995,21153599,3060,12291157,1884,5300913,11253,47075535,9251,12422950,2248,5648555,1007,5065574,10024,8203478,1154,4523414,655,2108724,3910,18028254,4514,6706694,1032,2574428,543,3511986,5470,5240388,465,3001933,360,1116889,2051,11349073,1555,2118445,317,827699,178,950469,1877,1615760,148,1224768,138,376608,691,3670629,910,1711151,254,628154,110,734023,1182,1106786,100,1671753,90,544736,441,2638353,472,742494,111,270319,65,398664,541,556399,64,398632,39,131444,226,1561536,1595,3440261,475,1443702,292,2796111,2310,2138447,201,2801285,201,630913,986,7059662
104年09月,基隆市,49620,61082032,13679,32138880,4461,21329335,69311,47729962,5800,21651309,4562,12618185,19507,79035643,21687,28487231,6398,16377596,2333,12723321,26929,20666842,2783,12830498,2148,6582455,10965,44492531,7939,10651965,2004,5632628,904,4657046,10178,8001781,969,4241915,718,1872502,3841,16600662,4060,5376269,925,2836508,490,3078551,5497,5057697,435,2753485,433,1195553,2000,10133913,1318,1728487,304,738878,128,892614,1864,1643002,155,794418,168,369846,673,3379004,831,1303027,212,566020,103,666338,1231,1197519,104,1270684,102,498383,507,2089074,441,549778,98,357782,64,418682,576,549458,66,348460,38,84331,220,1334941,1385,2514572,373,1286929,231,1766432,2416,2392330,178,2351180,236,597069,911,6624609
104年10月,基隆市,48353,57927078,15976,42436275,4808,24093315,70793,49838366,5979,26607360,5534,20092163,21365,93102529,21312,26767525,7478,21683994,2450,12211610,27639,21197520,3004,14365844,2425,9582530,11845,48647382,7706,9733449,2494,7772498,921,4702139,10383,8272450,1133,6399049,798,3802110,4188,18493451,3812,5323754,917,2974973,515,2852926,5638,5378151,498,3593406,442,2052170,2188,11285633,1302,1543697,366,1180930,157,1002325,1929,1695705,179,1140352,172,807222,764,4760248,783,1227574,229,924228,148,1036393,1225,1364850,108,1357948,112,371321,515,2837818,403,574646,113,370202,59,317692,612,684370,65,327918,48,171542,254,1596487,1375,2612952,442,1537436,285,2621382,2445,2276973,201,2639910,221,907479,1032,5893692
104年11月,基隆市,44122,51763969,14769,38870423,4668,28098954,68004,46401274,6160,24415926,5087,13880556,21153,104856641,19430,24306445,6804,19122903,2315,14148488,26149,20149827,3043,14798569,2408,7538486,11719,54509128,6916,8533416,2211,6232141,941,6393080,9824,7836064,1088,4658287,740,2151198,4136,20238437,3473,4791195,927,2856917,524,4236444,5225,4734461,523,3411947,433,1132868,2109,11854022,1180,1626568,319,923743,171,1145364,1921,1586454,189,1060314,179,507428,722,3954674,648,1021117,210,1246995,125,1612920,1265,1245096,105,721396,96,206674,508,2516607,370,521204,102,413570,45,326223,556,590434,80,504159,43,186124,229,1489116,1196,2148432,418,1966606,277,2853944,2273,2076605,266,2747220,225,629880,935,5975661
104年12月,基隆市,46995,56857107,17195,46494998,4582,25408306,66841,44159559,7042,27486715,4913,13096276,20955,106357332,20557,26842657,7891,22520968,2334,14216246,25573,19218528,3465,15939376,2117,6036715,11268,52537931,7392,9545762,2359,7355447,953,5849599,9622,7327750,1231,5441885,726,2109697,4143,20618623,3654,5467378,1091,3124250,504,3256783,5094,4317075,596,3352440,456,1062257,1998,10802819,1297,2262774,345,1197608,152,828068,1893,1542580,207,1346766,156,516046,678,4538058,678,1130781,254,796007,118,993884,1136,975660,133,1500035,120,456757,466,3231546,403,523706,121,445105,45,207389,512,527565,74,408210,38,67369,218,1746313,1320,2240578,504,1879349,326,3328883,2215,2345303,268,2976969,237,667844,1049,7531868
105年01月,基隆市,50517,74985152,19042,52941646,5948,35117438,45149,28870476,9930,30665969,3661,15644120,19805,97000812,23228,35864622,9404,28080427,3224,19061111,15261,11289244,5161,16547670,1555,5646989,11272,54952524,8379,13358896,3078,9768649,1227,7278785,6006,4398209,1758,6565571,503,1747067,4170,21155383,3978,6736308,1228,4044315,743,4987075,2994,2440616,850,3974292,268,994463,2084,12678509,1510,2418099,403,1222431,251,1581659,1051,821495,303,1071128,84,481504,657,3908736,817,1699140,270,1420182,195,1767346,694,538245,165,1046661,74,336608,521,3662625,425,812822,108,330018,96,690223,326,280391,105,545179,28,143106,231,1695693,1545,3316623,591,2902265,390,4327049,1163,934486,384,3383352,123,485454,859,6712148
105年02月,基隆市,44833,64559251,16872,46813430,5726,33522898,39232,24524471,10099,24710299,3506,10592450,17512,87255854,20923,31031018,8306,24117199,3242,17793327,13947,10260045,4744,13127490,1800,5319821,10395,48639899,7758,11251297,2535,7814574,1281,7622213,5391,4218791,1712,5394549,549,1533343,3621,16876730,3711,6043772,1156,3491546,655,4742617,2776,2202972,798,2919966,289,738244,1892,10665057,1306,2126701,389,1182881,249,1545216,1015,808755,268,911917,140,396837,611,3125999,765,1346891,255,821467,171,1463414,616,463961,159,1371604,96,295225,415,2950855,399,565480,139,389626,84,358679,310,254937,113,519293,42,249623,195,2061796,1353,3024961,464,1783235,379,4659121,1142,981237,267,2235392,141,371826,1028,6804400
105年03月,基隆市,40112,45560866,12720,33376256,4460,21789231,43308,28480090,8670,26342930,3852,10377168,21286,121870217,18140,22075343,5982,17005278,2207,10558028,14798,11050916,4137,13696165,1771,4947753,11839,61372815,6839,8204601,1919,5636474,940,4854685,5648,4608670,1535,5030898,632,2254783,4418,24485875,3293,4307520,812,2462585,513,3139489,2886,2489295,768,3430766,378,1262880,2327,14447857,1173,1486435,259,694977,163,1091246,1091,852315,209,867479,140,508765,787,5595650,693,1009534,183,580721,123,822041,624,524624,148,773598,110,453067,561,3600111,322,441498,105,271483,63,343033,328,249410,93,623015,47,110633,255,1678620,1171,1696257,371,1586072,344,3590986,1174,1105040,311,3433013,187,563622,1024,8183352
105年04月,基隆市,40774,49397932,15071,36333986,5225,31134357,43125,29041337,8663,27126629,4780,14800833,20032,120319857,18855,23480631,6913,17934812,2772,17408923,14920,11782637,4472,14599600,2161,6230544,11060,60999462,6997,8527095,2162,5972360,1106,6869416,5662,4932582,1569,5406909,741,2124795,4040,23519169,3440,4350495,963,2563426,614,3687175,2822,2460453,747,3024366,417,1285868,2188,15508393,1163,1531024,361,910066,200,1158223,976,970654,242,1028564,167,680602,686,3669632,690,970894,240,664652,177,1217798,649,641727,172,1599008,132,430064,474,3561323,382,539165,119,293468,77,565876,324,257329,100,792915,47,120840,211,2221689,1287,2431793,483,1642301,313,2532507,1218,1014717,335,3425656,232,665503,1102,9183208
105年05月,基隆市,44619,54830198,16987,39694007,5327,28600995,45670,32994023,8673,31077327,5550,14149388,17779,109683282,20502,25947602,7503,18944797,2738,14676793,15747,12944191,4170,15514167,2568,6819257,8098,51601760,7632,9446621,2483,6493716,1043,6024117,5798,5432463,1488,6502772,846,2369912,2860,19304349,3749,5287198,1055,2810204,581,2762098,2931,2827445,715,2808230,530,1506506,1473,11098004,1258,1683453,389,934960,186,1388827,1068,982480,260,1353072,198,635295,482,3834837,755,1267259,261,878394,145,1598687,697,626185,162,1064044,154,444779,338,2672375,372,573450,125,325967,87,605138,329,296672,105,1037286,69,160887,189,3031424,1393,2334632,504,1899586,307,2006927,1233,1651705,316,3076949,335,1026152,665,7608308
105年06月,基隆市,47731,56594196,16680,37604983,5776,37227676,45928,34736244,9236,30062030,5273,12714403,23691,112230726,22038,26976031,7589,17845906,3054,20202872,16290,13989890,4627,17020575,2206,5681210,10936,58406526,7981,9747229,2427,6134724,1177,8329856,6056,5394660,1577,6207435,836,2382164,3736,21265671,4180,5460316,1040,2435558,711,4919526,3109,3148914,828,4571868,452,1064790,1866,12436273,1406,1811677,384,1028143,222,1301359,1116,1118406,245,1516951,178,568325,659,4222848,848,1580241,249,954143,180,1093934,676,780053,178,1114003,129,342334,436,3141651,419,464468,116,270811,80,484281,339,350067,89,471290,48,92224,236,1734678,1486,2149615,529,1575420,364,2808204,1322,1504853,359,4158054,274,921089,810,8459503
105年07月,基隆市,51360,63243943,15746,33761525,6259,36876166,44924,32735126,10016,27364772,4715,10122383,28176,117162327,24109,30729967,7343,17629507,3283,20612240,16155,13176981,5095,15292040,2119,4585363,14493,62220466,8527,10676547,2507,6204961,1325,7963222,5994,5446033,1775,5012083,728,1517645,5085,23302366,4400,6001376,1102,2796459,698,4305557,3032,2900762,874,4008925,460,987894,2470,13586256,1481,1980857,367,833541,211,1576238,1001,875428,265,965752,181,436389,932,5806940,930,1337139,226,616053,168,1162823,638,627563,190,797019,134,288012,620,2957362,450,529427,159,411794,132,610856,327,289122,112,557066,47,71840,330,3246302,1539,2726508,472,1393716,371,3298415,1219,1348399,359,3287336,259,745592,1097,7965133
105年08月,基隆市,45953,59352814,15249,33147253,5946,31331191,47872,32810948,8468,22300737,5024,10283655,26184,85612705,20658,28370649,6829,16537629,3184,16632812,21911,15679911,3978,11520763,2189,4364357,13418,47108093,7901,10616796,2472,6003967,1238,5852443,8193,6400225,1517,4977387,800,1694038,4731,17502642,3941,5506505,980,2650339,633,4182608,4253,3569886,672,2924669,457,1212731,2289,10390260,1561,2261948,353,815272,261,1623828,3231,2434256,271,801154,170,359472,825,3651896,898,1400673,261,1176606,177,1070607,949,765804,163,679854,135,321986,520,2264695,403,525403,137,355141,91,386777,471,396869,102,396984,65,121677,288,1234646,1487,3236773,486,1721178,365,2777868,1851,1611193,258,1898095,278,686424,1156,6181240
105年09月,基隆市,46178,56876996,11960,27811011,5094,27802160,39637,27953929,7653,19888406,4541,10212575,24473,82103617,21332,27435226,5265,13865854,2595,14943096,21341,15656143,3783,10541478,2173,4641116,12712,45046159,7941,9918746,1690,4422552,944,5737749,8195,6443075,1329,4130876,731,1745175,4300,17469717,3992,5525899,746,2025789,564,3718617,4137,3609322,654,2572469,465,1138288,2177,8917509,1672,2284926,295,738589,256,1845063,3646,2694700,253,972870,158,396399,841,4169100,804,1321697,183,521904,159,778993,1211,991648,136,1025089,124,359131,520,2383211,402,527508,97,245001,83,652746,569,475180,79,498240,53,136726,260,1366175,1375,2271451,355,1292980,302,2234436,1859,1586566,301,2710648,263,807288,952,5925385
105年10月,基隆市,45931,55417228,13181,35174643,5569,26594214,41515,30055336,8123,24757270,5011,15046385,26384,87028228,21402,26494382,5987,17431728,3005,16458216,23274,17149409,4092,13321492,2314,6816568,13543,48305329,7872,10039227,1966,6015828,1158,6539169,9023,7583595,1524,5437850,721,2268711,4947,20381880,3989,5225816,807,2521217,616,3401266,4593,3865024,764,3682730,409,1334205,2179,9956799,1616,2013843,345,1037714,259,1282381,4399,3376610,278,1348524,191,613189,925,3985648,825,1177906,217,981442,176,822135,1367,1142885,160,1087028,131,478704,519,2316488,459,614096,95,408731,69,369968,655,542796,96,310256,57,206304,274,1346742,1406,2577299,448,2093529,360,2516158,1999,1744205,310,2084897,283,971161,1107,5420248
105年11月,基隆市,43757,51546745,13292,36053680,5261,29810198,30745,22995126,8100,22303237,4719,10224786,23214,85299573,20070,24941470,5931,17103253,2785,16711390,18138,14206696,3909,12189368,2283,5340336,11795,44372014,7145,9686736,1999,6153670,1112,6918914,6812,5781700,1386,4859379,716,1770510,4070,18410313,3626,4914755,905,2835709,627,3693458,3396,3087160,730,3073570,424,943977,2044,10484744,1596,2122480,336,991503,237,1527548,3808,2827166,260,1082825,182,392208,785,3850272,742,1147402,213,801823,183,1243191,600,634851,147,1028735,119,265411,469,2476301,422,615335,98,325097,98,1227540,319,377534,98,491854,55,94822,234,1880834,1267,2022767,377,1857639,318,2261754,1234,1509903,312,2296884,214,657839,935,6998301
