年月,地區,食品餐飲類未達50萬(筆數),食品餐飲類未達50萬(金額，新台幣),衣著飾品類未達50萬(筆數),衣著飾品類未達50萬(金額，新台幣),旅館住宿類未達50萬(筆數),旅館住宿類未達50萬(金額，新台幣),交通類未達50萬(筆數),交通類未達50萬(金額，新台幣),文教康樂類未達50萬(筆數),文教康樂類未達50萬(金額，新台幣),百貨類未達50萬(筆數),百貨類未達50萬(金額，新台幣),其他類未達50萬(筆數),其他類未達50萬(金額，新台幣),食品餐飲類50萬(含)-75萬(筆數),食品餐飲類50萬(含)-75萬(金額，新台幣),衣著飾品類50萬(含)-75萬(筆數),衣著飾品類50萬(含)-75萬(金額，新台幣),旅館住宿類50萬(含)-75萬(筆數),旅館住宿類50萬(含)-75萬(金額，新台幣),交通類50萬(含)-75萬(筆數),交通類50萬(含)-75萬(金額，新台幣),文教康樂類50萬(含)-75萬(筆數),文教康樂類50萬(含)-75萬(金額，新台幣),百貨類50萬(含)-75萬(筆數),百貨類50萬(含)-75萬(金額，新台幣),其他類50萬(含)-75萬(筆數),其他類50萬(含)-75萬(金額，新台幣),食品餐飲類75萬(含)-100萬(筆數),食品餐飲類75萬(含)-100萬(金額，新台幣),衣著飾品類75萬(含)-100萬(筆數),衣著飾品類75萬(含)-100萬(金額，新台幣),旅館住宿類75萬(含)-100萬(筆數),旅館住宿類75萬(含)-100萬(金額，新台幣),交通類75萬(含)-100萬(筆數),交通類75萬(含)-100萬(金額，新台幣),文教康樂類75萬(含)-100萬(筆數),文教康樂類75萬(含)-100萬(金額，新台幣),百貨類75萬(含)-100萬(筆數),百貨類75萬(含)-100萬(金額，新台幣),其他類75萬(含)-100萬(筆數),其他類75萬(含)-100萬(金額，新台幣),食品餐飲類100萬(含)-125萬(筆數),食品餐飲類100萬(含)-125萬(金額，新台幣),衣著飾品類100萬(含)-125萬(筆數),衣著飾品類100萬(含)-125萬(金額，新台幣),旅館住宿類100萬(含)-125萬(筆數),旅館住宿類100萬(含)-125萬(金額，新台幣),交通類100萬(含)-125萬(筆數),交通類100萬(含)-125萬(金額，新台幣),文教康樂類100萬(含)-125萬(筆數),文教康樂類100萬(含)-125萬(金額，新台幣),百貨類100萬(含)-125萬(筆數),百貨類100萬(含)-125萬(金額，新台幣),其他類100萬(含)-125萬(筆數),其他類100萬(含)-125萬(金額，新台幣),食品餐飲類125萬(含)-150萬(筆數),食品餐飲類125萬(含)-150萬(金額，新台幣),衣著飾品類125萬(含)-150萬(筆數),衣著飾品類125萬(含)-150萬(金額，新台幣),旅館住宿類125萬(含)-150萬(筆數),旅館住宿類125萬(含)-150萬(金額，新台幣),交通類125萬(含)-150萬(筆數),交通類125萬(含)-150萬(金額，新台幣),文教康樂類125萬(含)-150萬(筆數),文教康樂類125萬(含)-150萬(金額，新台幣),百貨類125萬(含)-150萬(筆數),百貨類125萬(含)-150萬(金額，新台幣),其他類125萬(含)-150萬(筆數),其他類125萬(含)-150萬(金額，新台幣),食品餐飲類150萬(含)-175萬(筆數),食品餐飲類150萬(含)-175萬(金額，新台幣),衣著飾品類150萬(含)-175萬(筆數),衣著飾品類150萬(含)-175萬(金額，新台幣),旅館住宿類150萬(含)-175萬(筆數),旅館住宿類150萬(含)-175萬(金額，新台幣),交通類150萬(含)-175萬(筆數),交通類150萬(含)-175萬(金額，新台幣),文教康樂類150萬(含)-175萬(筆數),文教康樂類150萬(含)-175萬(金額，新台幣),百貨類150萬(含)-175萬(筆數),百貨類150萬(含)-175萬(金額，新台幣),其他類150萬(含)-175萬(筆數),其他類150萬(含)-175萬(金額，新台幣),食品餐飲類175萬(含)-200萬(筆數),食品餐飲類175萬(含)-200萬(金額，新台幣),衣著飾品類175萬(含)-200萬(筆數),衣著飾品類175萬(含)-200萬(金額，新台幣),旅館住宿類175萬(含)-200萬(筆數),旅館住宿類175萬(含)-200萬(金額，新台幣),交通類175萬(含)-200萬(筆數),交通類175萬(含)-200萬(金額，新台幣),文教康樂類175萬(含)-200萬(筆數),文教康樂類175萬(含)-200萬(金額，新台幣),百貨類175萬(含)-200萬(筆數),百貨類175萬(含)-200萬(金額，新台幣),其他類175萬(含)-200萬(筆數),其他類175萬(含)-200萬(金額，新台幣),食品餐飲類200萬(含)以上(筆數),食品餐飲類200萬(含)以上(金額，新台幣),衣著飾品類200萬(含)以上(筆數),衣著飾品類200萬(含)以上(金額，新台幣),旅館住宿類200萬(含)以上(筆數),旅館住宿類200萬(含)以上(金額，新台幣),交通類200萬(含)以上(筆數),交通類200萬(含)以上(金額，新台幣),文教康樂類200萬(含)以上(筆數),文教康樂類200萬(含)以上(金額，新台幣),百貨類200萬(含)以上(筆數),百貨類200萬(含)以上(金額，新台幣),其他類200萬(含)以上(筆數),其他類200萬(含)以上(金額，新台幣)
104年09月,苗栗縣,80138,90647236,14175,33224645,10536,45197648,172992,141121146,16009,58334180,18967,23273755,25481,85624941,37154,43279288,5827,14895003,5534,24234000,77636,64693652,7722,32396078,7081,9611866,10821,41235493,13478,15713453,1848,5184755,2290,10701892,27222,23860762,3050,12626506,2093,2720448,3604,15393434,7196,9114878,831,2303594,1309,6293674,15433,15793014,1728,8189672,1026,1781045,1998,9653303,2379,3134279,320,848979,402,1650924,4807,5151566,617,3148906,386,588515,566,2221952,1707,2507876,216,485002,312,1397478,3904,3877558,505,3164508,252,321021,452,1952436,948,1247851,91,254535,191,1018770,1650,1608861,317,1583230,139,298849,241,925157,3323,5643532,487,1593780,893,8141085,7707,12406880,1266,10050051,435,1020739,934,5148889
104年10月,苗栗縣,77500,81316151,16071,39913094,11415,55616769,178546,146922056,17226,71062694,19313,22059089,28034,116288109,36251,39690162,6608,17639466,6318,30868079,80926,68755934,8502,39801042,7405,8773872,11471,53454635,12625,13931055,2147,5998521,2500,12264630,28126,24555655,3313,16212233,2168,2927727,3781,18883593,6922,8170958,973,2892306,1513,9440876,15911,18355492,2045,11051488,1051,1439359,2101,11714793,2383,3006962,345,1132206,495,2779664,4883,4728781,672,3690085,374,486410,673,3565147,1668,2301066,260,737971,392,2170990,4066,3856075,635,3569840,260,412893,522,2579306,918,1150419,127,354027,190,1352986,1706,1705719,323,2140147,171,179058,273,1549440,3225,4739549,515,1817615,1087,10886438,7985,12817978,1499,11476049,518,1032996,1042,6127939
104年11月,苗栗縣,74291,78860155,15325,39071984,13283,74232453,177521,142030011,17407,65965481,18913,20884155,26360,111128770,34855,38304177,6488,17169810,7447,41732170,79687,66638042,8447,33902020,7105,8039833,11149,53308154,11982,14336500,2053,5846851,2794,16854873,27769,24767411,3309,14853129,2139,2689185,3611,17167516,6870,7990159,917,2950573,1696,12011408,15558,15036226,2038,9471736,1015,1284316,1973,10842357,2168,2461867,340,1035001,612,3611899,4821,4692637,670,3736907,379,553042,550,2872580,1570,2205242,272,906553,507,3553176,4173,4161950,632,2913032,262,474479,497,2765927,799,1109026,138,447960,264,1782831,1728,1704557,406,2429236,129,207458,268,1468478,3165,4620830,515,1946852,1210,14199893,7648,13929841,1535,11397930,486,825950,1054,6518999
104年12月,苗栗縣,78415,87373247,19454,48686476,12888,61926798,177044,138510515,17397,60587303,21269,24551628,27264,105153664,37020,42696509,8394,22218638,7052,35446389,80359,64726605,8375,29890050,8372,10439953,11841,51614065,13129,16008938,2764,7963521,2769,13192581,28327,23684202,3231,13111642,2639,3495470,3891,18798144,7028,8560986,1226,3808408,1611,8104882,15845,17100835,2007,9229101,1258,1906497,2005,10237066,2247,2673123,496,1395371,582,3889453,5070,5310516,662,3870655,439,557340,684,3484905,1703,2526290,307,907928,453,2911589,4233,3877356,620,2922349,328,544092,529,2854601,815,1042966,179,522316,254,1812289,1869,2079808,376,2188217,209,577065,248,1334352,3411,5290125,734,2725634,1199,13294630,7905,11273866,1438,9241700,579,941333,1115,7605095
105年01月,苗栗縣,85299,120300559,20791,52676535,13943,73644796,82853,64313166,17291,61878866,14429,24920033,21741,93998947,42049,59967197,9024,24283215,7316,39604387,38621,31451218,8541,33364810,6217,9222280,10041,50400424,15027,23950669,3031,8711937,3078,16436747,14517,12099143,3353,12966918,2103,3610837,3486,17702893,7917,12213852,1303,3877959,1716,10600773,7497,7392323,1921,8610539,1018,1702869,1707,9885622,2642,4355322,477,1363184,619,4109848,2535,2380185,671,2976570,437,698372,586,3038750,2060,3686739,387,1003097,498,3144385,2134,2117387,590,2847198,284,427265,489,2878650,1031,1844938,208,559543,246,1528758,996,891022,334,1615010,133,164766,213,1140559,3700,7039171,689,2597015,1218,11136502,3458,3552102,1318,10152370,548,1045264,922,6288829
105年02月,苗栗縣,74862,101250014,16457,41371514,12970,67878280,75072,57846631,18074,60643686,14707,22376072,18773,82581728,38204,51901093,7277,19597073,7295,36117542,36377,29485614,9020,32164524,6461,10056308,8499,40575293,13821,19462778,2344,6400651,2974,15730170,13800,11529286,3458,12623502,2159,3457447,3021,14478540,7413,11282101,1020,3309845,1765,10110068,7284,6561572,2010,7577610,1125,1880426,1481,7620542,2516,3896908,388,1126727,607,3571975,2465,2428236,734,2737900,419,582126,503,2351183,1943,3148733,331,978303,465,2848653,2210,1807491,595,3433731,285,493429,438,2095757,998,1509856,132,409679,234,1427173,953,804719,335,1402316,155,287761,173,736032,3630,6227573,614,2109296,1175,9408272,3317,3225506,1332,7224596,564,1092101,859,4963272
105年03月,苗栗縣,62632,70049914,11010,27532068,9610,44403664,78817,65485045,15838,61021012,11445,19595516,18229,81366305,30115,34096341,4571,12057447,4935,20859491,37345,32083621,7459,30874983,4632,5776231,8152,40177194,11281,13486833,1461,4309363,2051,9902174,14208,12922890,2898,12657545,1539,2072955,2850,14921326,5875,7060967,673,2146396,1164,6001463,7294,7161965,1783,9565021,755,922376,1589,9102311,1913,2293318,263,784883,386,3140960,2515,2603317,594,2700411,254,365558,509,2867847,1473,1914412,184,542093,331,1831060,2063,1783565,524,2480994,176,365449,411,2310013,826,1054408,98,291025,145,1082785,936,835928,322,1652224,117,209742,211,1816576,3012,4956034,414,1475289,843,8402706,3233,3948399,1298,10746372,384,593536,824,4935061
105年04月,苗栗縣,66426,74744545,14447,34632596,10566,55402016,80483,67564376,19124,72900797,13157,17815805,17472,80153681,33021,37557862,6029,14916842,5820,28470036,38451,32943892,9051,36412740,5642,7735254,7735,40405925,12156,14133319,2055,5549610,2265,12434913,14754,13875272,3452,13770048,1905,2541652,2824,14846626,6456,7663868,912,2268781,1299,7843978,7328,7132199,2114,10118450,887,1225736,1413,7383608,2161,2773809,348,1083245,479,2313527,2454,2384725,705,3114170,313,472085,525,2521854,1665,2034706,240,605308,363,2229028,2035,1730916,608,2997188,244,367750,357,2031350,961,1307645,121,306073,210,1471647,1002,890947,328,1699240,112,179987,217,1935684,3121,5661008,493,1547909,895,7299741,3225,3427204,1525,11567567,469,843575,785,5590207
105年05月,苗栗縣,69567,79630582,15591,36005828,10673,57040384,83869,72752592,21705,76615144,14043,18467830,20060,87281482,34138,38810245,6455,15484445,5884,28694899,39412,35506758,9823,38900500,5932,7801151,9051,44081208,12387,14676092,2161,5701334,2314,12823789,15194,14046885,3697,16830179,1998,2851817,3181,16719438,6420,8001167,923,2583462,1271,7278834,7321,7125083,2187,9483012,975,1513822,1558,9201674,2170,2759859,366,919601,488,3155256,2635,2932158,786,3964928,334,616292,544,3273956,1640,2238974,259,713439,345,1925737,2141,1886822,663,3623338,233,458235,381,2428385,961,1218672,140,361782,191,1050272,1003,1081457,395,1997177,147,221472,186,1332215,3362,4836993,539,1636987,877,6983427,3344,3711307,1659,11078077,479,794685,829,5673232
105年06月,苗栗縣,74311,81071155,15709,34815110,10875,61841504,86446,77771858,20906,72634103,15763,19130147,22556,90898909,36352,40318722,6701,15219449,5772,32612347,40774,38029749,9929,38504231,6862,8878820,9779,45976637,13048,15077726,2332,5826831,2295,11778751,15200,14222858,3717,16128874,2312,2885574,3382,16917301,7128,8634762,1053,2721154,1310,7498341,8013,8459218,2241,11251849,1128,1510389,1844,10585728,2352,2951632,402,970874,485,2632557,2675,2932633,737,3294151,460,694713,610,3770542,1739,2394358,289,833401,397,2363961,2278,2110742,688,4467099,260,473388,458,2679523,953,1276114,165,431131,204,2107550,1038,1014666,361,1716871,150,205277,235,1666084,3410,5284143,576,1847166,897,8537364,3582,4270379,1776,11172339,595,949848,923,6209017
105年07月,苗栗縣,80997,90824870,14854,31377726,11160,60666953,86325,75356375,20451,72057678,17643,21760116,23147,92554698,40198,45203783,6300,14044121,5992,33406776,41514,37127894,10094,38662815,7810,9675670,10301,47636975,15309,18566604,2147,5290462,2469,12778802,15904,15166742,3962,16308714,2652,3340889,3665,17755282,7507,8782034,922,2336802,1396,8520867,7922,7888402,2397,12250627,1339,1889912,1909,9786883,2544,3204708,382,1087180,491,3664513,2711,2917290,850,4797743,478,683756,682,3513035,1918,2561900,267,806938,406,2038597,2088,1967660,687,5987260,367,454993,459,2522590,1048,1454376,144,295333,221,1257358,1086,1100374,390,2103501,199,270882,225,1247809,3704,5653591,549,1535150,896,6204803,3429,3930193,1707,10699045,746,1043215,941,5858735
