statistic_yyy,site_id,village,edu_age_15up_total,edu_doctor_graduated_f,edu_doctor_ungraduated_f,edu_master_graduated_f,edu_master_ungraduated_f,edu_university_graduated_f,edu_university_ungraduated_f,edu_juniorcollege_2ys_graduated_f,edu_juniorcollege_2ys_ungraduated_f,edu_juniorcollege_5ys_final2y_graduated_f,edu_juniorcollege_5ys_final2y_ungraduated_f,edu_juniorcollege_5ys_first3y_ungraduated_f,edu_senior_graduated_f,edu_senior_ungraduated_f,edu_seniorvocational_graduated_f,edu_seniorvocational_ungraduated_f,edu_junior_graduated_f,edu_junior_ungraduated_f,edu_juniorvocational_graduated_f,edu_juniorvocational_ungraduated_f,edu_primary_graduated_f,edu_primary_ungraduated_f,edu_selftaughtl_f,edu_illiterate_f
統計年,區域別,村里名稱,總計,博畢_女,博肄_女,碩畢_女,碩肄_女,大畢_女,大肄_女,二畢_女,二肄_女,後二畢_女,後二肄_女,前三肄_女,高畢_女,高肄_女,職畢_女,職肄_女,國畢_女,國肄_女,初畢_女,初肄_女,小畢_女,小肄_女,自修_女,不識_女
104,臺北市松山區,莊敬里,4977,5,7,130,31,642,165,169,19,158,5,21,204,61,359,51,177,25,4,1,284,33,7,22
104,臺北市松山區,東榮里,7114,30,10,398,74,1353,231,255,17,311,6,10,282,127,351,40,154,40,6,0,151,21,4,6
104,臺北市松山區,三民里,6193,26,9,284,46,1176,175,250,17,256,6,11,242,85,352,33,155,36,6,1,192,16,7,12
104,臺北市松山區,新益里,4307,9,6,140,30,674,128,143,17,168,4,10,173,53,292,33,128,31,4,0,203,17,5,22
104,臺北市松山區,富錦里,4713,11,6,214,50,833,131,148,15,200,9,7,197,74,290,34,165,20,1,1,161,7,3,7
104,臺北市松山區,新東里,4459,14,5,157,26,670,118,175,23,194,6,10,149,45,312,42,157,24,5,1,191,13,4,11
104,臺北市松山區,富泰里,4221,13,7,217,41,802,123,178,14,189,8,3,192,52,275,28,108,21,4,0,118,11,7,6
104,臺北市松山區,介壽里,3937,17,8,222,30,648,122,152,7,176,7,9,156,57,215,30,95,20,5,1,94,11,4,6
104,臺北市松山區,精忠里,3874,19,6,208,26,727,108,130,8,152,8,3,159,75,225,31,79,21,1,0,69,12,3,7
104,臺北市松山區,東光里,6704,38,6,280,63,1101,233,283,11,248,4,17,271,109,373,58,177,43,3,0,220,32,7,16
104,臺北市松山區,龍田里,8984,28,21,542,88,1684,252,388,30,386,7,10,316,147,470,69,162,48,6,1,169,29,3,18
104,臺北市松山區,東昌里,2382,16,2,124,18,399,89,88,5,104,8,5,82,43,144,24,56,11,5,0,62,4,1,5
104,臺北市松山區,東勢里,3964,18,3,187,35,678,111,161,7,141,5,7,166,67,262,25,113,16,4,1,125,9,4,6
104,臺北市松山區,中華里,5561,29,14,337,50,1072,163,193,6,235,9,11,186,100,256,34,89,32,3,0,130,18,2,11
104,臺北市松山區,民有里,7973,25,15,392,62,1493,269,272,23,281,7,13,310,114,461,58,219,49,2,3,214,19,7,20
104,臺北市松山區,民福里,5974,9,4,211,44,947,191,192,21,193,10,7,254,65,423,46,170,34,2,1,294,25,4,24
104,臺北市松山區,慈祐里,7298,11,8,205,39,951,200,235,25,208,12,10,276,70,547,97,278,53,6,2,337,37,14,32
104,臺北市松山區,安平里,7714,21,7,251,55,1073,238,255,26,252,14,20,291,103,517,74,277,39,4,0,430,39,16,46
104,臺北市松山區,鵬程里,5115,14,9,145,35,761,151,187,23,202,14,19,212,81,368,49,133,18,2,0,206,23,4,22
104,臺北市松山區,自強里,8848,24,12,412,77,1428,275,328,31,327,5,15,391,137,448,68,253,43,8,1,306,36,16,29
104,臺北市松山區,吉祥里,7736,22,10,334,65,1325,261,272,17,315,14,11,253,129,519,47,243,36,5,0,243,13,7,13
104,臺北市松山區,新聚里,7303,19,11,306,59,1134,238,280,23,253,8,20,302,98,536,64,224,43,4,1,276,30,7,22
104,臺北市松山區,復盛里,5876,11,5,209,36,911,187,217,23,197,7,18,203,92,424,56,179,38,9,0,240,28,7,35
104,臺北市松山區,中正里,8351,35,11,464,75,1552,275,354,30,350,7,19,285,154,486,56,164,55,5,0,190,16,5,6
104,臺北市松山區,中崙里,3644,15,4,155,28,618,97,190,10,145,3,7,140,57,249,25,84,21,4,0,131,11,3,7
104,臺北市松山區,美仁里,3061,8,3,156,21,517,91,121,14,108,4,5,105,56,179,29,75,14,0,0,102,9,3,11
104,臺北市松山區,吉仁里,3566,13,6,169,19,612,120,132,9,144,8,8,139,49,226,30,74,30,5,1,103,10,6,9
104,臺北市松山區,敦化里,6161,22,9,310,52,1076,168,213,12,216,6,11,245,91,388,51,157,37,8,1,207,13,4,13
104,臺北市松山區,復源里,2844,10,6,133,17,452,81,121,7,104,2,6,114,51,184,22,81,12,1,1,113,6,2,5
104,臺北市松山區,復建里,3975,14,5,186,26,679,124,148,13,151,8,12,141,59,260,36,86,18,4,1,131,10,6,6
104,臺北市松山區,復勢里,5520,16,6,264,60,901,166,245,14,205,9,5,220,81,385,45,139,27,9,0,196,20,4,16
104,臺北市松山區,福成里,2418,7,2,146,29,444,78,89,4,106,3,2,99,31,122,16,62,17,3,0,53,5,4,2
104,臺北市松山區,松基里,3331,15,3,162,26,563,107,115,11,107,6,0,130,47,193,31,91,24,1,1,142,13,5,20
104,臺北市信義區,西村里,5454,17,9,206,53,751,190,193,7,200,0,9,207,64,306,27,153,39,7,0,179,16,10,28
104,臺北市信義區,正和里,4194,14,9,245,47,795,155,162,10,167,2,7,156,60,247,17,93,32,2,0,120,6,5,9
104,臺北市信義區,興隆里,2620,9,3,137,31,487,92,78,1,87,1,5,119,39,140,14,71,9,1,0,94,9,8,8
104,臺北市信義區,中興里,3114,15,6,180,31,569,100,133,3,124,0,2,148,47,183,22,74,17,2,1,96,9,4,7
104,臺北市信義區,新仁里,3138,10,7,147,42,541,127,125,5,130,3,4,116,54,155,12,75,19,1,0,92,11,9,8
104,臺北市信義區,興雅里,5344,12,14,206,44,795,206,222,6,206,1,10,187,65,352,29,165,32,3,1,242,15,12,18
104,臺北市信義區,敦厚里,4837,12,13,237,51,790,181,179,10,183,0,8,179,57,293,40,127,21,2,2,184,8,10,14
104,臺北市信義區,廣居里,7060,19,14,331,81,1193,267,249,2,284,1,10,250,100,421,33,206,44,4,0,236,20,7,13
104,臺北市信義區,安康里,9050,41,20,512,102,1597,318,350,12,318,0,7,313,141,517,55,214,52,5,0,225,21,11,23
104,臺北市信義區,六藝里,3400,6,3,77,37,455,115,126,2,106,0,6,117,38,225,33,134,20,3,0,185,23,20,14
104,臺北市信義區,雅祥里,4546,7,9,159,48,617,172,169,6,145,0,12,122,54,304,40,136,27,1,1,263,18,7,21
104,臺北市信義區,五常里,3465,2,3,101,33,407,143,165,2,104,1,6,129,33,266,20,114,21,3,1,203,16,11,16
104,臺北市信義區,五全里,4669,11,5,159,38,645,143,168,9,161,0,9,185,54,323,35,159,29,3,1,301,16,12,18
104,臺北市信義區,永吉里,3760,2,0,65,17,416,163,96,9,58,2,10,103,48,245,30,196,28,6,1,255,24,21,52
104,臺北市信義區,長春里,3909,5,2,74,23,475,164,141,8,90,0,7,146,49,256,30,165,19,5,1,274,28,12,31
104,臺北市信義區,四育里,5283,5,7,150,42,691,196,162,7,145,1,14,193,52,400,44,224,32,3,1,316,25,15,20
104,臺北市信義區,四維里,5022,10,11,158,36,702,215,183,7,164,0,9,178,58,359,31,167,30,5,0,249,17,14,24
104,臺北市信義區,永春里,4565,9,9,108,33,581,204,161,9,123,1,14,157,46,319,33,159,38,0,1,311,27,7,33
104,臺北市信義區,富台里,3964,9,6,160,44,630,161,196,5,126,0,8,132,56,261,23,105,27,2,0,170,18,10,21
104,臺北市信義區,國業里,6745,18,8,287,56,1081,269,268,7,238,1,20,252,91,395,49,217,36,6,0,262,11,6,25
104,臺北市信義區,松隆里,2141,3,3,44,10,248,69,70,4,55,1,2,95,25,140,26,106,13,2,0,134,17,3,28
104,臺北市信義區,松友里,6105,11,11,211,51,910,235,243,8,222,0,15,246,80,439,64,163,48,12,1,260,18,12,38
104,臺北市信義區,松光里,4598,5,3,157,36,612,142,145,4,150,0,4,171,61,331,31,189,31,3,2,268,27,7,27
104,臺北市信義區,中坡里,4154,6,6,122,23,544,147,157,10,146,1,6,149,34,304,31,161,18,5,2,244,24,9,28
104,臺北市信義區,中行里,7440,9,6,170,68,942,325,258,11,209,3,11,253,85,525,62,294,51,4,1,441,39,20,58
104,臺北市信義區,大道里,5708,7,8,186,45,803,215,167,7,167,1,6,176,55,409,36,214,45,3,0,321,19,17,34
104,臺北市信義區,大仁里,3786,8,5,102,22,470,132,122,8,108,1,9,132,53,255,31,165,27,4,1,280,18,11,36
104,臺北市信義區,景新里,4666,9,6,218,42,786,189,169,4,169,1,11,154,66,294,42,115,34,4,0,177,15,13,17
104,臺北市信義區,惠安里,6133,14,5,167,50,814,248,243,7,169,0,12,236,74,423,46,228,35,3,1,337,37,16,39
104,臺北市信義區,三張里,8256,21,18,340,61,1226,283,273,31,266,10,13,339,119,491,55,223,50,8,2,423,30,19,30
104,臺北市信義區,三犁里,4836,15,11,201,38,773,179,166,9,178,0,4,186,72,281,32,130,32,4,0,220,17,11,17
104,臺北市信義區,六合里,6387,23,11,247,57,994,231,237,9,212,1,11,267,86,400,51,184,32,3,2,244,27,7,29
104,臺北市信義區,泰和里,7304,11,14,200,53,960,276,248,21,221,1,26,291,81,508,63,288,44,3,0,426,38,14,51
104,臺北市信義區,景聯里,4296,14,7,180,42,657,145,176,3,155,0,3,146,47,283,42,129,28,5,0,172,17,7,21
104,臺北市信義區,景勤里,3770,10,4,99,38,501,121,144,6,98,1,6,149,36,254,26,143,16,3,1,222,21,11,26
104,臺北市信義區,雙和里,6540,22,14,243,58,947,237,261,13,208,1,15,257,80,424,41,192,50,5,0,335,12,12,30
104,臺北市信義區,嘉興里,3009,6,3,114,20,455,106,114,6,106,1,4,127,31,213,28,92,15,3,0,139,9,10,12
104,臺北市信義區,黎順里,3902,16,11,166,45,573,146,115,6,121,1,12,148,46,232,27,113,14,5,0,188,16,13,22
104,臺北市信義區,黎平里,6553,22,12,234,81,996,265,205,13,191,1,8,260,95,413,53,213,39,3,1,315,25,18,27
104,臺北市信義區,黎忠里,4476,9,6,118,40,577,156,182,5,130,3,11,169,67,294,36,197,23,5,3,292,11,16,23
104,臺北市信義區,黎安里,2017,4,2,18,3,138,74,65,5,29,0,1,135,28,90,16,163,26,2,1,152,30,6,18
104,臺北市大安區,德安里,5105,30,7,305,44,1026,153,186,14,187,7,3,220,82,256,24,100,23,5,2,114,14,3,9
104,臺北市大安區,仁慈里,4624,24,17,337,42,890,159,164,9,170,2,7,163,100,187,24,86,30,4,0,67,15,10,5
104,臺北市大安區,和安里,6051,34,9,398,58,1095,189,218,9,189,6,13,224,139,282,31,104,37,4,0,143,11,2,14
104,臺北市大安區,民炤里,7170,56,6,516,67,1396,214,247,20,238,6,7,320,135,346,17,143,35,7,0,117,19,8,12
104,臺北市大安區,仁愛里,4781,34,3,274,42,998,150,154,8,170,6,6,206,82,227,18,127,29,7,0,105,13,12,4
104,臺北市大安區,義村里,5538,17,7,257,53,935,150,187,18,199,8,9,261,81,320,34,149,37,0,0,172,13,4,14
104,臺北市大安區,民輝里,6319,47,20,333,55,1080,185,204,14,216,5,7,299,97,323,58,171,42,1,1,188,13,10,19
104,臺北市大安區,昌隆里,2872,17,2,150,17,499,68,100,2,96,5,0,142,48,136,12,100,9,4,0,92,7,3,3
104,臺北市大安區,誠安里,3890,28,8,173,21,684,122,144,21,134,7,4,187,59,227,18,101,30,3,0,121,9,7,12
104,臺北市大安區,光武里,6948,27,12,388,60,1271,218,246,19,283,12,7,355,92,407,37,193,37,9,3,200,24,7,12
104,臺北市大安區,龍坡里,5113,53,17,419,65,1010,156,164,11,149,2,7,185,81,199,23,92,17,6,1,84,15,1,8
104,臺北市大安區,龍泉里,4239,39,16,291,51,783,134,163,13,145,3,7,142,68,192,23,109,24,4,2,105,10,3,6
104,臺北市大安區,古風里,3796,42,7,249,40,673,129,141,9,117,4,0,117,80,191,23,82,18,3,0,101,9,7,13
104,臺北市大安區,古莊里,6311,55,18,429,73,1224,197,215,22,170,7,6,240,92,302,39,144,29,4,0,159,13,12,21
104,臺北市大安區,龍安里,6993,64,19,466,60,1105,209,208,20,232,9,5,243,117,299,39,162,63,8,0,147,40,6,18
104,臺北市大安區,錦安里,5172,46,19,408,54,967,157,192,18,200,7,4,162,118,220,39,70,23,2,0,114,6,2,6
104,臺北市大安區,福住里,5447,26,10,437,70,1048,170,193,9,224,3,5,200,117,238,27,94,35,1,0,120,12,5,9
104,臺北市大安區,永康里,3250,16,6,188,29,582,110,121,10,112,3,7,143,63,153,16,71,14,2,1,80,3,7,8
104,臺北市大安區,光明里,3011,22,6,211,32,547,81,114,6,95,4,6,84,58,130,19,62,16,2,1,80,7,3,12
104,臺北市大安區,錦泰里,3099,28,14,237,30,599,91,118,7,89,5,4,103,75,125,17,54,16,1,0,53,3,2,4
104,臺北市大安區,錦華里,4841,38,12,356,64,900,168,153,8,156,4,7,159,94,220,23,67,24,6,0,119,7,2,8
104,臺北市大安區,龍圖里,6140,43,7,378,56,1137,175,239,13,205,8,12,251,111,312,24,122,26,4,0,160,17,1,12
104,臺北市大安區,新龍里,6079,33,4,393,74,1148,185,222,15,233,5,9,201,108,292,43,123,47,5,0,132,7,6,10
104,臺北市大安區,龍陣里,3305,27,3,184,22,578,94,92,10,110,3,7,127,58,197,15,75,20,2,0,108,8,4,10
104,臺北市大安區,龍雲里,4439,24,3,241,39,778,148,151,3,171,9,4,217,77,237,36,92,26,4,0,147,11,2,9
104,臺北市大安區,龍生里,5842,49,18,394,63,1100,176,255,19,207,8,9,196,103,269,36,100,37,4,0,128,16,3,12
104,臺北市大安區,住安里,4788,19,5,213,41,774,138,190,13,142,7,13,196,74,280,38,144,27,3,1,225,29,8,27
104,臺北市大安區,義安里,4912,22,6,315,45,940,166,153,11,166,4,4,225,80,238,29,125,15,3,0,100,7,5,16
104,臺北市大安區,通化里,5666,14,6,185,38,797,158,191,18,178,8,9,219,75,401,61,205,40,6,1,313,35,7,33
104,臺北市大安區,通安里,5130,8,8,198,37,776,149,175,20,171,6,8,225,80,348,39,149,27,4,0,255,13,9,27
104,臺北市大安區,臨江里,3828,9,0,123,21,521,108,116,15,112,7,10,150,40,301,38,140,21,2,0,225,38,8,32
104,臺北市大安區,法治里,4133,20,7,186,48,711,119,145,7,173,3,4,154,67,254,34,108,23,3,1,141,18,6,14
104,臺北市大安區,全安里,3999,16,3,252,28,804,112,141,11,168,4,6,140,56,186,26,73,21,4,0,108,12,3,7
104,臺北市大安區,群賢里,5443,33,9,311,59,1057,169,202,19,198,4,2,241,77,284,33,121,29,3,0,144,9,9,12
104,臺北市大安區,群英里,6540,30,19,365,53,1201,224,241,15,263,5,9,280,100,326,37,145,39,3,1,155,22,5,9
104,臺北市大安區,虎嘯里,3429,19,8,211,40,664,101,118,5,155,7,6,134,54,168,17,88,15,4,0,71,7,3,4
104,臺北市大安區,臥龍里,1737,15,2,92,25,292,41,65,7,75,2,3,72,27,74,14,40,13,0,0,59,6,4,9
104,臺北市大安區,龍淵里,8075,73,29,565,92,1492,271,341,13,251,3,9,267,136,355,42,167,47,6,0,191,18,6,17
104,臺北市大安區,龍門里,3763,41,12,302,31,759,108,122,3,106,3,6,131,80,155,7,67,19,0,0,64,6,0,5
104,臺北市大安區,大學里,7589,96,22,548,92,1359,246,279,15,239,4,8,277,134,346,36,137,37,3,1,189,14,15,17
104,臺北市大安區,芳和里,5336,17,2,182,39,772,142,204,12,169,6,6,229,57,355,39,171,29,4,1,286,21,5,32
104,臺北市大安區,黎元里,5075,6,5,142,32,596,144,229,24,131,7,13,182,67,397,57,163,19,2,1,329,43,8,47
104,臺北市大安區,黎孝里,7065,7,11,268,54,1098,234,241,23,223,11,9,272,100,462,50,213,34,6,0,335,27,7,34
104,臺北市大安區,黎和里,4502,7,7,191,30,660,137,128,10,141,4,6,184,58,316,42,161,23,2,0,216,29,9,22
104,臺北市大安區,建安里,4487,17,6,256,35,900,137,160,14,198,9,6,210,62,232,24,127,25,5,1,107,9,3,8
104,臺北市大安區,建倫里,5581,26,8,343,34,1069,177,176,14,261,11,4,309,108,283,24,130,34,9,1,102,11,2,9
104,臺北市大安區,敦安里,5589,34,7,391,46,1052,158,192,15,233,7,7,271,122,248,19,114,37,4,1,105,13,7,7
104,臺北市大安區,正聲里,4355,13,3,249,37,821,131,162,11,152,4,4,198,62,227,24,93,26,3,0,108,11,8,14
104,臺北市大安區,敦煌里,5337,27,16,359,53,1090,135,199,7,207,5,6,229,89,264,20,124,15,4,0,92,10,3,9
104,臺北市大安區,華聲里,3858,16,2,214,30,702,133,155,5,149,4,6,142,62,221,28,99,28,6,0,87,6,5,11
