statistic_yyy,site_id,village,edu_age_15up_total,edu_doctor_graduated_f,edu_doctor_ungraduated_f,edu_master_graduated_f,edu_master_ungraduated_f,edu_university_graduated_f,edu_university_ungraduated_f,edu_juniorcollege_2ys_graduated_f,edu_juniorcollege_2ys_ungraduated_f,edu_juniorcollege_5ys_final2y_graduated_f,edu_juniorcollege_5ys_final2y_ungraduated_f,edu_juniorcollege_5ys_first3y_ungraduated_f,edu_senior_graduated_f,edu_senior_ungraduated_f,edu_seniorvocational_graduated_f,edu_seniorvocational_ungraduated_f,edu_junior_graduated_f,edu_junior_ungraduated_f,edu_juniorvocational_graduated_f,edu_juniorvocational_ungraduated_f,edu_primary_graduated_f,edu_primary_ungraduated_f,edu_selftaughtl_f,edu_illiterate_f
統計年,區域別,村里名稱,總計,博畢_女,博肄_女,碩畢_女,碩肄_女,大畢_女,大肄_女,二畢_女,二肄_女,後二畢_女,後二肄_女,前三肄_女,高畢_女,高肄_女,職畢_女,職肄_女,國畢_女,國肄_女,初畢_女,初肄_女,小畢_女,小肄_女,自修_女,不識_女
105,新北市板橋區,龍翠里,4690,2,3,119,36,532,143,149,17,116,9,126,55,383,78,17,256,30,4,1,278,41,13,37
105,新北市板橋區,華翠里,3256,3,3,87,32,385,88,115,10,78,4,114,52,257,44,11,171,20,9,2,185,21,5,29
105,新北市板橋區,忠翠里,9161,17,8,346,97,1349,323,368,34,293,15,294,163,655,113,28,367,41,7,1,334,37,11,44
105,新北市板橋區,嵐翠里,2346,1,1,24,9,179,44,61,6,51,2,73,19,225,60,14,182,22,2,0,163,10,8,24
105,新北市板橋區,文翠里,3756,1,0,54,27,387,122,122,19,76,5,124,34,309,48,16,219,25,2,0,281,12,7,28
105,新北市板橋區,青翠里,2797,1,0,38,4,221,82,70,6,57,0,75,36,244,43,14,202,16,2,0,208,20,8,24
105,新北市板橋區,懷翠里,5581,5,2,67,26,495,170,167,18,103,8,173,67,463,122,25,421,33,3,1,352,45,26,51
105,新北市板橋區,福翠里,1260,1,0,10,8,101,31,28,9,23,3,54,11,103,26,4,80,9,0,1,110,8,2,6
105,新北市板橋區,港嘴里,5718,3,1,83,36,614,147,190,21,117,10,157,59,484,95,18,372,39,5,0,380,29,15,34
105,新北市板橋區,振興里,4136,2,1,64,9,366,120,117,26,78,3,127,54,350,58,9,285,40,3,1,312,28,9,47
105,新北市板橋區,振義里,3932,2,1,45,22,308,100,108,24,76,6,130,66,353,78,23,232,26,3,0,301,35,13,52
105,新北市板橋區,光復里,3046,1,3,43,19,303,77,96,11,79,5,96,42,270,49,13,137,22,5,0,194,14,3,26
105,新北市板橋區,埔墘里,5809,2,2,117,31,647,185,174,27,133,8,204,75,511,90,18,344,41,4,2,346,27,13,44
105,新北市板橋區,長壽里,2613,2,2,48,8,271,63,74,14,57,4,90,34,227,38,7,152,14,1,1,177,21,6,20
105,新北市板橋區,福壽里,3120,2,1,56,13,333,94,81,12,69,5,113,53,239,44,4,200,14,1,1,182,19,11,21
105,新北市板橋區,海山里,6743,10,5,162,45,823,238,271,25,170,6,221,133,546,95,33,341,45,8,1,338,28,10,38
105,新北市板橋區,九如里,2618,0,1,30,14,263,87,82,11,59,2,97,32,217,57,11,129,20,1,1,201,23,4,30
105,新北市板橋區,玉光里,4782,4,2,71,21,506,141,180,24,126,8,165,60,421,88,26,293,34,0,0,285,37,7,39
105,新北市板橋區,光仁里,2670,0,0,50,13,280,77,80,16,57,4,86,46,213,42,10,144,21,4,1,197,14,6,15
105,新北市板橋區,埤墘里,3774,5,3,85,18,437,112,138,17,91,7,94,52,302,52,14,247,19,1,3,243,19,13,26
105,新北市板橋區,永安里,3139,1,0,48,18,333,72,104,15,58,4,109,47,254,45,16,175,18,3,0,226,24,7,33
105,新北市板橋區,雙玉里,3598,6,1,56,21,309,105,123,20,82,6,111,56,323,60,10,227,31,3,2,247,24,12,43
105,新北市板橋區,廣新里,3243,2,0,38,9,283,98,107,16,56,7,116,32,274,60,8,239,20,1,0,233,29,7,35
105,新北市板橋區,深丘里,7547,16,6,278,70,1123,273,303,38,226,10,201,120,554,88,18,267,50,5,0,276,26,6,24
105,新北市板橋區,香丘里,3365,1,4,66,24,381,86,129,17,76,7,85,63,280,41,11,198,25,6,1,204,18,10,23
105,新北市板橋區,西安里,2475,2,0,51,17,236,83,67,6,62,4,67,51,180,36,5,173,21,1,1,156,16,5,26
105,新北市板橋區,東丘里,4212,0,2,77,11,437,116,158,18,91,6,134,65,346,78,15,217,34,8,1,304,27,11,39
105,新北市板橋區,長安里,4025,0,2,113,28,475,117,155,18,90,7,120,74,370,60,16,223,20,4,0,169,21,3,26
105,新北市板橋區,福丘里,4219,12,5,202,28,657,148,170,17,168,3,144,92,312,39,9,118,30,0,0,133,17,4,9
105,新北市板橋區,福祿里,3540,2,4,90,42,424,105,130,12,80,4,105,65,297,53,7,197,30,3,0,194,24,5,28
105,新北市板橋區,民族里,4006,4,4,115,34,529,107,187,16,112,6,93,72,310,46,13,139,25,3,1,220,19,4,19
105,新北市板橋區,國泰里,3229,2,4,82,17,350,99,130,15,101,6,90,58,239,42,11,179,25,4,1,220,15,8,20
105,新北市板橋區,福德里,4690,6,3,101,28,492,119,152,23,122,7,138,64,390,65,17,236,26,5,0,328,24,4,27
105,新北市板橋區,景星里,3153,1,4,100,29,365,107,109,17,78,4,112,36,270,48,11,143,21,3,0,171,17,4,12
105,新北市板橋區,福星里,3223,10,3,81,31,401,114,107,12,91,2,116,53,242,36,14,162,11,3,1,182,8,5,10
105,新北市板橋區,鄉雲里,3422,4,4,77,22,408,107,151,12,95,2,112,56,269,46,17,172,18,1,0,222,21,3,18
105,新北市板橋區,廣德里,6154,6,8,141,58,713,189,205,24,161,10,184,96,592,74,21,272,32,4,1,349,30,8,26
105,新北市板橋區,大豐里,4315,2,2,72,19,454,139,161,19,96,7,112,65,376,73,12,227,27,3,1,315,25,5,11
105,新北市板橋區,重慶里,7989,3,2,136,54,838,238,273,35,209,15,248,110,698,157,38,462,36,6,0,485,40,11,28
105,新北市板橋區,仁愛里,2909,2,1,46,18,302,60,112,15,69,5,124,25,251,38,6,165,18,2,0,181,5,1,12
105,新北市板橋區,和平里,3196,3,5,125,33,491,89,150,18,104,1,82,50,246,31,8,124,14,3,0,121,10,1,12
105,新北市板橋區,廣福里,3706,1,2,49,21,343,118,153,19,87,7,125,56,318,74,15,235,19,2,2,211,33,6,22
105,新北市板橋區,華興里,3815,2,1,70,13,442,134,117,19,97,6,108,56,343,68,9,209,27,2,0,231,16,15,24
105,新北市板橋區,華貴里,2479,2,0,32,14,250,67,66,13,46,3,98,33,185,36,6,158,21,0,0,229,16,3,17
105,新北市板橋區,華德里,6415,7,2,164,30,714,192,224,38,172,8,213,92,522,83,28,406,39,3,0,351,15,8,20
105,新北市板橋區,華東里,6331,13,9,218,62,900,183,209,28,200,8,194,95,469,74,19,242,33,2,0,271,18,11,22
105,新北市板橋區,信義里,3866,2,0,66,18,353,99,127,12,93,0,131,28,326,64,15,208,25,2,0,330,23,12,31
105,新北市板橋區,浮洲里,3738,1,1,19,9,319,91,86,16,40,3,123,41,296,80,18,274,42,3,1,260,28,12,50
105,新北市板橋區,華中里,4898,0,1,44,20,433,142,125,19,61,7,146,49,398,95,25,389,38,1,3,369,43,10,34
105,新北市板橋區,僑中里,3758,3,0,32,13,356,110,118,25,49,5,112,44,351,74,19,303,20,2,0,221,16,10,20
105,新北市板橋區,中山里,3733,2,2,34,11,297,85,109,19,48,6,104,41,348,68,14,245,35,4,0,317,35,23,41
105,新北市板橋區,復興里,1012,0,0,5,2,67,20,20,4,6,1,21,9,65,16,1,61,4,2,0,67,9,4,9
105,新北市板橋區,大安里,3785,1,0,42,14,340,97,99,16,63,5,101,45,295,64,17,271,35,3,2,323,26,6,33
105,新北市板橋區,福安里,2399,1,3,13,13,200,68,60,12,42,2,85,35,218,35,5,164,12,0,0,205,20,4,20
